departure_time_current,departure_time_original,flight_status,delay_minutes,delay_status,destination,flight_number,company,check_in_desk,terminal,boarding_gate,getting_there,date_saved
2025-03-19T09:50:00Z,2025-03-19T09:50:00Z,NA,0,On Time,GINEBRA (GVA),"IBE0613, AAL8554, VLG5148","Iberia, American Airlines, Vueling",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T09:50:00Z,2025-03-19T09:50:00Z,NA,0,On Time,GRAN CANARIA (LPA),"IBS1605, VLG5238, QTR6584, AAL8625, IBE1605","Iberia Express, Vueling, Qatar Airways, American Airlines, Iberia",850 - 859,T4,K,-,2025-03-19T01:14:00Z
2025-03-19T09:55:00Z,2025-03-19T09:55:00Z,NA,0,On Time,CRACOVIA (KRK),RYR6209,Ryanair,356 - 359,T1,NA,-,2025-03-19T01:14:00Z
2025-03-19T09:55:00Z,2025-03-19T09:55:00Z,NA,0,On Time,PARIS /ORLY (ORY),"IBE0571, AAL8831, QTR6862, VLG5137","Iberia, American Airlines, Qatar Airways, Vueling",850 - 859,T4,J,-,2025-03-19T01:14:00Z
2025-03-19T10:00:00Z,2025-03-19T10:00:00Z,NA,0,On Time,ATLANTA (ATL),DAL109,Delta,126 - 135,T1,A,-,2025-03-19T01:14:00Z
2025-03-19T10:00:00Z,2025-03-19T10:00:00Z,NA,0,On Time,BUDAPEST (BUD),RYR6713,Ryanair,356 - 359,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T10:00:00Z,2025-03-19T10:00:00Z,NA,0,On Time,FLORENCIA / PERETOLA (FLR),"VLG1501, IBE5003, AAL8875","Vueling, Iberia, American Airlines",760 - 762,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T10:00:00Z,2025-03-19T10:00:00Z,NA,0,On Time,LISBOA (LIS),EJU7640,easyJet,327 - 329,T1,C,-,2025-03-19T01:14:00Z
2025-03-19T10:00:00Z,2025-03-19T10:00:00Z,NA,0,On Time,MIAMI (MIA),"AAL069, IBE4611, BAW1559, FIN4005","American Airlines, Iberia, British Airways, Finnair",940 - 949,T4S,S,-,2025-03-19T01:14:00Z
2025-03-19T10:00:00Z,2025-03-19T10:00:00Z,NA,0,On Time,NIZA /COTE D-AZUR (NCE),"IBE1211, AAL8810, QTR8079, VLG5295","Iberia, American Airlines, Qatar Airways, Vueling",850 - 859,T4,NA,-,2025-03-19T01:14:00Z
2025-03-19T10:00:00Z,2025-03-19T10:00:00Z,NA,0,On Time,PARIS /CHARLES DE GAULLE (CDG),"AFR1001, SAS9855, REU8001, MAU9427, KAL6380, DAL8541, ARG7836, AEA2227, WJA5182","Air France, SAS Scandinavian Airlines, -, KOREAN AIR, Delta, Aerolíneas Argentinas, Air Europa, Westjet Airlines LTD",427 - 431,T2,E,-,2025-03-19T01:14:00Z
2025-03-19T10:05:00Z,2025-03-19T10:05:00Z,NA,0,On Time,ESTOCOLMO /ARLANDA (ARN),"IBE0823, AAL8547, FIN5634, VLG5128","Iberia, American Airlines, Finnair, Vueling",850 - 859,T4,H,-,2025-03-19T01:14:00Z
